,description
17,"Sentinel Limousine of East Providence RI is a family owned business that was established in 1987. We are seeking a Second Shift Customer Service Representative for our local office. Job Description: The Customer Service / Reservationist is responsible for booking, coordinating and securing ground transportation itineraries for our corporate and retail clients. The Reservationist will work side-by-side with management and the chauffeur staff to ensure all reservations are accurate, assigned and in accordance with the company’s policy. Essential Functions: Responds to ground transportation requests from retail and corporate clients, affiliates, travel agents, and referral networks, concerning reservations arriving by email, telephone, fax, or through a central on-line reservation system. Creates and maintains reservation records, prepares and send confirmation and promptly processes any cancellations and modifications. Knowledge, Skills and Abilities: Advanced customer service and communication skills Great telephone presence Ability to multi-task, prioritize and work efficiently with critical attention to details Ability to perform at high-level in fast past work environment Sensitivity to confidentiality Possess outstanding organizational and time management skills Knowledgeable of Rhode Island and Massachusetts roads Must be teachable Critical thinker and problem solver Duties and responsibility: Maintain complete knowledge and capabilities of fleet and associated services Knows the selling/pricing status, rates, and benefits of all packages plans Review and prepares confirmations, insuring accuracy prior to sending to clients Process reservation cancellations and modifications in a timely manner Understands the company's policy on late cancellations and no-shows Handles daily correspondence; responds to inquiries and makes reservations as needed Makes sure that files are kept up to date Maintains a clean and neat appearance and work area at all times Promotes goodwill by beings courteous, friendly, and helpful to mangers, and fellow employees Willing to undertake any reasonable request made by management in any other areas of the office"
18,"Application opening date: April 24, 2024
Title: Content WriterClassification: ExemptBand Description: SpecialistSupervisor: Director of Communications
Position SummaryThe Content Writer develops and disseminates impactful written content for United Methodists of EPA and GNJ, supporting our mission to recruit and equip transformational spiritual leaders to make disciples and grow vital congregations to transform the world. This is a highly collaborative role in the EPA&GNJ Communications Team.
www.gnjumc.orgwww.epaumc.org
Essential FunctionsCraft and manage engaging content across various channels, aligning with EPA&GNJ’s objectives.Maintain EPA&GNJ editorial calendar.Direct the production of the quarterly “NEWSpirit” newspaper, coordinating content, design, publication, distribution, and budget to uphold high production values and fiscal responsibility.Manage, curate, and track the weekly “Digest” e-newsletter.Regularly write editorial features that highlight local church ministries and conference initiatives.Revising others written content to ensure all-around consistency (style, fonts, images and tone)Compile and produce publications like the AC Pre-Conference Workbooks and the AC Journal.Balance and weigh written and visual content to reflect diversity, intercultural competency, and theological differences within our conferences.
Organizational ResponsibilitiesRelated communications duties such as social media assistance, photography, and representing communications team on project teams.Serve as a participant or as a project manager for projects as assigned.Assist in EPA & GNJ meetings and events.
Core CompetenciesCommitted to continuously grow in intercultural competenceBuild and maintain relationships that are rooted in honesty, integrity and honoring confidentialityWork collaboratively with others to produce innovative solutionsNetworking and initiativeMeet deadlinesAbility to convert ideas into stories, linking EPA&GNJ’s mission to action
QualificationsPortfolio of published articles (electronic and print)Excellent writing and editing skills in EnglishEvidence of collaboration with clients and within an office environmentHands-on experience with MailChimp, WordPress, SEO tools, Microsoft Suite, and social mediaFamiliarity with web publicationsPhotography skills preferred
EducationBachelor’s degree in journalism, communications, or public relations
TravelThe position requires some evening and weekend responsibilities and some travel beyond the office. The position works in a hybrid model from the EPA office in Norristown, PA and GNJ office in Neptune, NJ.
EPA & GNJ employees through their work help fulfill our mission: recruit and develop transformational leaders to make disciples and grow vital congregations to transform the world. EPA & GNJ values as an organization and in its employeesinnovation and risk takingexcellence in its ministry and servicecompassionate and just servicediversitycollaborationUnited Methodists of Eastern Pennsylvania and Greater New Jersey view all employees as leaders who are critical to the mission, capable of growth and valued.
Inquiries and resumes to be sent to jkim@gnjumc.org until position is filled.
Download the full Job Description: Content Writer-2024"
19,"WORK @ SWShannon Waltchack (SW) is seeking a Commercial Property Manager to manage a portion of its commercial real estate portfolio. ABOUT SWAt SW, We Help People - our clients, investors and tenants - maximize value, build wealth, see the future, cultivate relationships, and make great real estate decisions. Our experienced team is rooted in our core values: Gratitude, Integrity, Drive & Innovation. We started our property management department to enhance and protect our own properties. Realizing our own success and knowing others could benefit from it, we expanded this service to include our clients and we now manage over 125 properties throughout the United States. ABOUT THE POSITIONReporting to the VP Finance & Administration (VP), the Controller will help oversee the responsibilities of the Accounting Department, specifically, the accounting operations of the real estate portfolio of Shannon Waltchack affiliates and Third-Party Owners managed by Shannon Waltchack. The Controller should relieve the VP of certain responsibilities and provide general oversight of accounting items including Accounts Receivable, Accounts Payable, reconciliations, property financials and other Property Accounting functions. The Controller will supervise staff as determined by the VP. Essential Responsibilities include, but are not limited to:· Develop, document, and implement internal controls· Lead, manage and hold accountable direct reports· Prepare, review, adjust and post Journal Entries· Treasury management, lender and bank reconciliations· Oversee Charge and Receipts for properties· Manage Check Run and ACH Payments· Prepare and approve Wires· Oversee financial statement reporting, accruals, and adjustments for properties· Compile quarterly asset management report and make investor distributions· Oversee 1099 Preparation and distribution· Oversee OPEX reconciliations· Oversee Property Contract administration and Vendor compliance· Various activities needed to support the VP, President, Partners and Investors PREFERRED QUALIFICATIONSBachelor’s degree in accounting or related discipline is preferredCertified Public Accounting (CPA) DesignationMinimum 5 years experience in real estate accountingAbility to comprehend, analyze, and interpret real estate terms, principals, and documentsHigh degree of initiative, self-direction, and attention to detailExcellent written and oral communication skillsStrong organizational and analytical skillsMust be proactive, responsive and resourcefulAbility to multi-task and work well under pressure requiredDemonstrated knowledge of Microsoft Office 365Yardi Property Management Software
"
20,"We are seeking a qualified Physician Assistant or Nurse Practitioner with a minimum of 1-2 years of practical experience in primary care settings. The ideal candidate will join our team in the vibrant Chamblee/Atlanta area. This position offers flexible employment options, including both part-time and full-time opportunities.
Benefits include vacation time, participation in a 401k retirement plan, and comprehensive health insurance coverage. Our clinic operates during standard business hours from 8:30 AM to 5:30 PM, Monday through Friday, with additional hours every other Saturday from 9 AM to 2 PM which can be optional. There is no on-call duty required for this position.
Compensation will be commensurate with experience. If you are a dedicated Primary Care Provider looking to join a dynamic team in the Chamblee/Atlanta area, we encourage you to apply."
21,"Why Work Here?“We’re a growing holistic health clinic with a passionate, dedicated team of supportive, down-to-earth & spiritually-minded humans.” Read our story. Position Description:Tamara TCM Acupuncture & Herbs, the leading Traditional Chinese Medicine (TCM) center in Northwest Ohio, is excited to invite applications for a dedicated, full-time Ohio Licensed Acupuncturist. As a recognized provider of holistic healthcare, we are on the lookout for a passionate practitioner who aligns with our belief in the power of TCM.As an integral part of our diverse and inclusive team, you will contribute to our comprehensive TCM services, including Acupuncture and Herbal remedies. Your role will be pivotal in our serene, supportive environment, where each team member’s contributions are recognized and celebrated.Key Responsibilities:– Conduct acupuncture consultations and administer treatments.– Develop and implement individualized treatment plans based on patient needs.– Maintain detailed patient records.– Educate patients about holistic health, preventive care, and lifestyle adjustments consistent with TCM principles.– Adhere to all professional, ethical, and legal regulations as mandated by the relevant regulatory bodies.Qualifications:– Current Acupuncture License in the state of Ohio.– Degree in Acupuncture or Traditional Chinese Medicine from an accredited institution.– Experience in a clinical setting.– Deep knowledge and understanding of TCM principles and techniques.– Excellent communication skills and commitment to exceptional customer service. Preferred Skills:– Cupping, E-Stim, Moxa, Guasha– Proven ability to work effectively within a team-oriented environment.– Strong multitasking and time management skills.– A compassionate and empathetic approach toward patients.– Comfortable with retail responsibilities and flexible availability.– Experience with iContact or other email marketing software is a plus.
What We Offer:– A serene, supportive work environment fostering professional growth.– Competitive compensation package.– Discounts on acupuncture and holistic treatments.Our ideal candidate isn’t just a licensed acupuncturist; they’re a passionate advocate for holistic healthcare and align with our mission to enhance the wellness of our community.If you’re a motivated professional with a strong belief in the power of TCM, we invite you to submit your resume and a cover letter detailing why you’d be an ideal fit for our team.We are in search of the exceptional! Join us and play a key role in the TCM revolution in Northwest Ohio.About Tamara TCM Wellness Clinic:The mission of Tamara TCM is to provide high-quality natural medicine with integrity that is safe and effective. We are committed to serving our community with compassionate care and providing education to empower and inspire people to reach their greatest potential. To apply please email your resume to operations@tamaratcm.com or call us: 419-345-4996"
22,"Education Bachelor's degree in software, math, or science required Job Skills Analytical skills, group work, knowledge of intended audience, understanding of different roles"
23,Sheet metal fabricator for in house shopWelding & soldering skills are very helpfulInsulated shopTo form & fabricate custom metal trim/gutters/downspouts/etc for use in our construction projectsPaid weekly 
24,"About Us: We are a small, friendly personal injury law firm located in downtown Stuart, Florida. Committed to providing excellent service and quality representation to our clients, we pride ourselves on our friendly and compassionate approach. Our team values going the extra mile for our clients, embracing innovation, maintaining positivity, being meticulous, upholding integrity, fostering a growth mindset, giving back to the community, and respecting ourselves and others.
Position Overview: Personal Injury Pre-litigation/Litigation Attorney
Responsibilities:
Case Management:Handle both pre-litigation and litigation files.Take ownership of cases from intake through closing.Ensure that all cases are managed efficiently and effectively.Client Communication:Provide outstanding customer service consistently.Keep clients informed and engaged throughout the legal process.Demonstrate compassion and understanding towards clients.Task Execution:Respond promptly to clients, adjusters, and opposing counsel.Contribute to a positive and supportive office environment.Collaborate with the team and pitch in where needed.Adherence to Core Values:Go the extra mile for our clients.Embrace innovation in legal practice and technology.Bring positivity, enthusiasm, and a great attitude to work.Demonstrate meticulousness with extreme attention to detail.Uphold integrity and ethical principles in all actions.Foster a growth mindset and openness to new ideas.Actively participate in community service and encourage others to join.Treat oneself and others with dignity and professionalism.Qualifications:Licensed Florida attorney with a focus on personal injury litigation.Proven experience in managing cases from inception to closure.Strong communication and interpersonal skills.Willingness to go above and beyond for clients and the firm.Demonstrated ability to work collaboratively in a team-oriented environment.Positive attitude, adaptability, and a commitment to excellence.Compensation:Competitive salary plus a bonus structure, along with benefits.
If you are a dedicated and experienced personal injury litigation attorney looking to join a dynamic and client-focused firm that values its team, please submit your resume, cover letter, and references to gene@zwebenlawgroup.com.We look forward to welcoming a new team member who shares our commitment to providing exceptional legal representation with a personal touch.
Job Type: Full-timePay: From $80,000.00 plus bonuses per yearBenefits:Health insurancePaid time offProfessional development assistanceWork Location: In person
"
25,"NPE 2024 Exhibition Event Worker﻿Date: 2024/05/06(Mon.) - 2024/05/10(Fri.), 5daysShow Times: 9:00 – 17:00 (Last day will close at 15:00)Location: OCCC (Orange County Convention Center, 9800 International Drive, Orlando, FL 32819)Work Content: Hand out flyers, ask visitors to fill in inquiry forms(we have daily goals), and collect business cards.Number of required workers: 2-3 peopleLanguage: English(proficiency), Mandarin is a plusWage: $ 100 USD /one day(Good performance will have extra bonus)Working Hours: 08:30 a.m.- 17:00 p.m.Interview:Online interview will be on 4/19(Fri.)Pre-education program: the day before the exhibition at OCCCSince the exhibition is around the corner, please send your resume to the following email address (Please add ""Your Name - NPE 2024"" in the subject of your email).Contact Person: EvelynE-mail: service@prm-taiwan.comContact Number: +886 988 351 334NOTE:The last days will have shorter hours and fewer people will be needed as the show goes on.Times are subject to change depending on the organizer.
"
26,"Job Description:GOYT is seeking a skilled and motivated Remote Software Developer specializing in PHP to join our dynamic team. As a key member of our development team, you will play a crucial role in iterating and enhancing our product to drive the growth of our company.
This is an equity-based role. 
Responsibilities:Develop and maintain high-quality PHP code for our web-based application.Collaborate with the development team to design and implement new features and enhancements.Troubleshoot and debug issues to ensure optimal performance and reliability.Contribute to the technical roadmap and decision-making process to support the company's growth objectives.Stay updated on industry trends and best practices to continuously improve our product.
Requirements:Expertise in PHP development with a strong understanding of object-oriented programming principles.Experience with e-commerce platforms or projects is preferred.Proficiency in front-end technologies such as HTML, CSS, and JavaScript.Familiarity with MySQL or other relational databases.Ability to work independently and as part of a remote team.Excellent communication and collaboration skills.Passion for learning and staying updated on emerging technologies.
Benefits:Opportunity to join a fast-growing startup and contribute to its success.Equity-based compensation package.Flexible remote work arrangement.Collaborative and supportive work environment.Potential for professional growth and advancement within the company.
If you are a talented PHP developer with a passion for innovation and growth, we want to hear from you! Please submit your resume and portfolio showcasing your relevant experience to: business@goyt.com"
27,"Morlen Capital Advisors, a boutique commercial mortgage brokerage firm, is actively looking for an experienced Mortgage Loan Coordinator to join our growing company here in Morristown, NJ If you are motivated, have a proven ability to multi-task while remaining extremely organized, and have a hands-on approach, then, MCA may be the place for you. MCA offers a dynamic environment that fosters and encourages individual growth and rewards performance. Employees are encouraged to share their views and ideas, ultimately taking responsibility for their careers. This is an extraordinary opportunity to work with a great team in an energetic environment.
The Loan Coordinator position includes analyzing credit reports and appraisals, qualifying loans according to company or lender guidelines, and reviewing and processing commercial mortgage and investment property transactions. You will also validate loans approved, correspond with title companies and third-party vendors, and communicate with customers on loan status and loan closings.
Essential Responsibilities :Evaluates loan applications for risks and various criteria such as investor requirements, accuracy, consistency and completenessReview documents to ensure accuracy and completeness.Review assets statements to compare to required assets. Require documentation and source for any recent large depositsReview appraisal to ensure the value is supported and that the appraiser has provided a complete accurate appraisal. Review file to make sure compliance has been met; regulatory, state compliance, and federal (patriot act)Review final conditions turned in for Underwriting Final Approval within 24 hoursMaintain current and fluid knowledge of investor and agency guidelinesCommunicates effectively and engages proactively with loan originators, processors, branch managers, funders, and post-closers in regard to loan decisions, assignment of loan conditions, investor guidelines/documentation requirements, and possible loan scenariosPerforms other related duties as assigned
Job Requirements5+ years of recent Mortgage Processing Experience Ability to work in a fast paced, fluid environment and be held to minimum production standardsHigh integrity and outstanding work ethic requiredStrong computer skills; proficient in Microsoft Word, Excel and OutlookMust have proficient written and verbal communication skillsKnowledge of compliance and disclosure requirementsKnowledge of closing, post-closing & quality control responsibilities
"
28,"Looking for a General Laborer for our real estate property management team. Must have a positive attitude, work with little supervision, demonstrated work history of acceptable attendance and punctuality and availability to lift 75 lbs.
As a General Laborer you will perform a wide range of duties within the company, but not limited to: lifting as much as 75 pounds alone, being on feet all day, following all required safety procedures and general clean-up around the communities. In addition, crew members are responsible for performing duties such as planting, trimming, pruning, mowing, seasonal cleanup of properties, snow removal, and other general property maintenance.Prior general labor experience is a plus.Will train individuals with the right qualities and aptitude.Applicant must be willing to work in a variety of weather conditions, able to lift 75lbs., be a hard worker, and a team player that wants to grow with a growing organization.
Responsibilities include but are not limited to:Routine apartment and general building maintenance, including but not limited to plumbing, heating, carpentry and electricalGeneral maintenance of common areasPerform preventive maintenance around the propertiesCarpentry, Plumbing, Light Electrical, Heating Systems, Drywall repair, Appliance repair and installation.Participates in building and property coverage by working evenings and weekend rotations as required.Assist in snow removalAssist with seasonal outdoor maintenance and landscaping needs ·Assist with apartment and building painting needs ·Assist with driving when necessary ·Assist with janitorial services when necessary ·Lift furniture and carry large items (often exceeding 50 pounds) up several flights of stairs ·Climb ladders at heights reaching 20 feet or more ·Completing all tasks in a timely and professional fashion ·Order/ track maintenance supplies ·Communicating facility needs and concerns in the buildingsCoordinate with Corporate FacilitiesCoordinate with on-site management staff
Qualifications:AT LEAST ONE YEAR PREVIOUS EXPERIENCE PREFERREDA working knowledge of maintenance, operation, and repair of facilities and the equipment. Must have an excellent knowledge of all pertinent Department of Public Welfare Codes, OSHA requirements, and other codes related to mechanical systems.Ability to lift and carry objects weighing over 50 pounds.Ability to work occasionally in poor weather conditions, including heat, cold, rain or snow.Good communication and interpersonal skills in order to work with clients, residents, visitors and staff having a wide range of technical and clinical expertise.Basic computer knowledge is required (word, excel, outlook etc.).On-call required on rotational basis for emergencies and after hours callsMust have valid driver's license and reliable vehicle
If you successfully meet these qualifications and are looking to work for a great company, please submit your resume.Job Type: Full-time
Pay: $18.00 - $24.00 per hour
Benefits:401(k)Paid time offSchedule:8 hour shiftMonday to FridayOn callWork Location: In person"
29,"HCC is looking to hire professional and experienced private swim instructors to teach swim lessons to our members at club pool. We supply the clients, you set your own schedule! Must have the ability to work mornings. Conduct private (1-1) and small group swim lessons. Instructor must have their CPR certification. Earn up to $30/hr. Interested parties, email your resume to Estella@harlingencc.com"
30,"The Administrative Assistant will organize and coordinate program administration and procedures to ensure organizational effectiveness, efficiency, and safety for a small but growing nonprofit. This hybrid role entails remote and in-office work, primarily based in Woburn, occasional time in Medford, and some travel throughout the state. The successful candidate excels at multitasking, thrives in a dynamic environment, and can work independently with little supervision.
DUTIES AND RESPONSIBILITIESPoint person for mailing, shipping, ordering supplies, equipment, bills, and errandsOrganize and schedule meetings and appointmentsPerform HR functions to onboard new employees into the payroll system and ensure all personnel policies are providedCoordinate with IT contract providers on all program equipmentManage relationships with vendors and service providers, ensuring timely ordering, invoicing, and paymentManage contract and price negotiations with office vendors, service providers, etc.Provide general support to callers and email contactsManage office services by organizing operations and procedures, controlling correspondences, maintaining filing systems, and overseeing clerical functionsEstablish historical references for the office, including procedures for protection, retention, record disposal, retrieval, and staff terminationsMeasure results against standards and make necessary changesPerform review and analysis of special projects, keeping management informedRecruit staff for the program, provide orientation, and training to new employeesParticipate actively in company activities planning and executionDevelop standards and promote activities that enhance operational proceduresEnsure filing systems are maintained and currentMonitor and maintain office supplies inventoryReview and approve office supply acquisitionsEnsure security, integrity, and confidentiality of dataOversee adherence to office policies and proceduresAnalyze and monitor internal processesImplement procedural and policy changes to improve operational efficiencyPrepare operational reports and schedules to ensure efficiencyPerform any other duties and/or tasks assigned as needed
QUALIFICATIONSEducation: A minimum of an associate degree with courses in secretarial/office administration or equivalent experienceExperience: Three to five years of proven office management, administrative, or assistant experienceKnowledge of office management responsibilities, systems, and proceduresExcellent time management skills and ability to multitask and prioritize workAttention to detail and problem-solving skillsExcellent written and verbal communication skillsStrong organizational and planning skillsProficient in Microsoft Office and knowledge of office software packagesKnowledge of accounting, data, and administrative management practices and proceduresKnowledge of clerical practices and proceduresKnowledge of human resources management practices and proceduresKnowledge of business and management principlesOffice Manager key skills & proficiencies: Communication, Analysis and Assessment, Judgment, Problem-Solving, Decision Making, Planning and Organization, Time Management, Attention to Detail, Accuracy, Initiative, Integrity, Adaptability, Teamwork, Budgeting, Staffing, Supervising, Developing Standards, Process Improvement, Inventory Control, Supply Management, Creativity, Proactivity, Recordkeeping, Coordination, Billing, Interpersonal Skills, Motivation, Administrative Support
Hours: 22.5hrs/weekSalary: $23.00/hrBenefits: Prorated sick and vacation days, 11 paid holidays, $.50 mile for work-related travel, 70% of monthly health insurance premium Other: Must be COVID vaccinated"
31,"Company DescriptionPierce Refrigeration is a full-service HVAC and commercial refrigeration company located in West Bridgewater, MA. With over 75 years of experience, we specialize in selling, installing, and repairing heating systems, including gas and oil furnaces, heat pumps and hybrid heat. Our services also include central and ductless air conditioning systems, as well as indoor air quality products such as air purifiers, ventilators, and humidifiers. We are available 24 hours a day for emergency services and are dedicated to providing the highest level of expertise and customer satisfaction.
Role DescriptionWe are hiring full-time on-site role for a Service/Construction Technicians and Apprentices at Pierce Refrigeration in West Bridgewater, MA. The technician will be responsible for performing inspections, planning and executing construction projects, ensuring construction safety protocols are followed, and providing expertise in civil engineering and building surveying. The technician will also be responsible for maintaining documentation and records related to construction projects.
Benefits401KShort and Long Term DisabilityCompany Van and gas cards for qualified techniciansHealth, Dental and Vision PlansPaid Vacation and Holidays40 hours of paid sick timeEnd of Year Bonuses
QualificationsExperience in planning and executing construction projectsKnowledge of civil engineering and building surveying principlesUnderstanding of construction safety protocolsAbility to inspect and assess construction sitesStrong problem-solving and analytical skillsAttention to detail and ability to maintain accurate documentationExcellent communication and interpersonal skillsPhysical fitness and ability to work in various environmental conditionsRelevant certifications or licenses (e.g., OSHA certification) preferred"
32,"Description Legal secretary/assistant needed for national litigation group of Fortune 500 company. Competitive salary and superior benefits offered. We represent one of the country’s leading title insurance companies, major institutional lenders and property owners in real estate litigation matters. Successful candidates should be team players with experience running a busy litigation desk. Please respond via e-mail with resume, salary requirements and references to Heidi.cooling@fnf.com. Requirements Must have at least 2 years Arizona or Colorado civil litigation experience, knowledge of both state and federal procedural rules, superior organizational skills, strong attention to detail and the ability to provide secretarial/administrative support to experienced trial attorneys. Working knowledge of MS Office Software, including Adobe required. Knowledge of TurboCourt and e-filing desired. "
33,"ABME, a leader in corporate event planning, is looking for multiple positions including sales, delagate aquisition, sales support and more. Ability and willingness to travel a must. 1-2 years experience required. Work from home. Great bonus structure and abiltybto make $100k plus immediately"
34,"We currently need the following team members at GRAYLING NURSING AND REHABILITATION COMMUNITY in GRAYLING, MICHIGAN: 
Registered Nurse (RN) *1st Shift - $5,000 SIGN-ON BONUS
*3rd Shift - $10,000 SIGN-ON BONUS 
 Atrium Centers…Be a light…to all residents, their families and team members “Our mission is to serve as a bright light in the lives of our residents and families by delivering compassionate, quality care in the communities they call home”. Our foundation is based upon Compassion, Community and Clinical Excellence.  BENEFITS:100% Employee owned (ESOP) and offer 401(k) matchingMedical/Dental/Vision/Life InsurancesPaid Time Off/Holiday PayTuition Reimbursement – Further your career with our support!Atrium Centers Discount Program – SAVE ON TRAVEL, ELECTRONICS, HEALTH AND WELLNESS, AUTOMOTIVE AND MORE
RESPONSIBILITES:Assess, evaluate, and provide direct care/related services for residents in accordance with their care planAdminister medications and complete treatments based on residents' needsSupervise and evaluate the performance of nursing assistants
QUALIFICATIONS:A passion for caring for and improving the lives of our residentsCurrent RN LicenseAbility to Administer Medication and IV certificationGood Working knowledge of State Rules/RegulationsPositive Can-Do Attitude and Excellent Attendance
We are Atrium Centers, and we invite you to see—first-hand—what we’re all about. If you’re committed to delivering compassionate, quality care in your local community, and believe in taking an all-hands, all-hearts approach to delivering top-notch care, apply with us today."
35,"About Revesco Properties:Revesco Properties is a boutique commercial real estate investment, development, and management firm headquartered in Denver, CO. Revesco operates under three primary business units: Revesco Properties, Revesco Properties Trust and Elitch Gardens/The River Mile Development. Revesco Properties specializes in finding unique, urban-infill development sites in Denver to build projects that are accretive to the neighborhoods by utilizing interesting architectural elements and adding amenities such as retail. Revesco Properties Trust is a real estate investment trust that is focused on raising Canadian equity to acquire ownership in open-air shopping centers and mixed-use properties in select U.S. markets. And, The River Mile is a 62-acre urban-infill redevelopment at scale in the heart of downtown Denver in the current location of Elitch Gardens, along the banks of the South Platte River.
Position Summary: Revesco Properties is looking for an experienced and versatile Marketing and Office Coordinator who is eager to excel in all aspects of the job. The ideal candidate has experience in developing, creating, and executing marketing campaigns while managing a variety of other tasks in an office environment. The coordinator should be equally proficient with day-to-day marketing activities and long-term strategizing and strive under tight deadlines to meet the company's changing needs. The coordinator has a no-task-is-too-small, team-player attitude who is an expert at creative problem-solving. 
Marketing Responsibilities:
Marketing Strategies: Formulate and execute marketing plans and strategies aligned with the company's objectives and target audience. Brand Management: Maintain and enhance the company's brand image. Ensure brand consistency across all marketing channels and campaigns.Campaign Planning and Execution: Plan, coordinate, and execute marketing campaigns across various channels such as digital, print, social media, and events.Content Strategy: Develop content strategies for different marketing channels, including website, social media, email marketing, and advertising.Sales Collateral: Create and maintain sales collateral such as brochures, product sheets, presentations, etc. to support the Business Development team and drive customer engagement.Marketing Event Management: Collaborate with non-profit partners to plan and coordinate various events and volunteer opportunities.Analytics and Reporting: Track and analyze marketing performance metrics. Measure the effectiveness of marketing campaigns and initiatives to build successful strategies.Marketing Calendar: Maintain and update the marketing calendar, ensuring alignment with business objectives, monitoring deadlines, and communicating updates to VP of Ops and Strategy.CRM Software: Updating, maintaining and utilizing customer relationship management software (currently HubSpot) for marketing initiatives.
Office Responsibilities:
Event Planning: Assist in planning and organizing office events, and meetings. Coordinate logistics, such as venue booking, catering, and attendee arrangements.Office Management: Maintain office supplies inventory, order supplies as needed, and ensure office equipment is in working order. Coordinate with vendors and service providers for office maintenance and repairs.Continuous Improvement: Identify opportunities for process improvements and efficiency enhancements in office operations. Implement best practices and streamline workflows to optimize productivity.Ad Hoc Support: Provide additional support and assistance to employees and management as needed, demonstrating flexibility and adaptability in fulfilling job duties.
Qualifications: Bachelor’s degree in marketing, business, or related field.Minimum of two years of marketing/office coordinator experience. Equivalent education and experience may be substituted.Proficient in Adobe Creative Suite (InDesign, Illustrator, and Acrobat).Ability to work collaboratively with cross-functional teams.Advanced knowledge of Microsoft Office Suite.Strong organizational skills to manage multiple projects simultaneously, prioritize tasks, and meet deadlines.Creative thinking ability to develop engaging marketing campaigns and content that resonate with target audiences.Excellent business writing, editing and proofreading skills. Must communicate professionally, both orally and in writing.Experience using customer relationship management software, preferably HubSpot.Professional effectiveness and credibility.Notary certified or willingness to become certified. 
Work Environment and Physical Demands:This job operates in a professional office environment in the fun and upbeat LoHi neighborhood with Little Owl Coffee in the building. Participate in team events such as an annual summer boat day, ski trip, volunteer events, and weekly breakfast club! This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets, and scanners. Some travel may be required.
Compensation:$55,000-$75,000/year 
"
36,"Are you driven by the thrill of solving problems and offering unparalleled support? Do you thrive in environments that challenge you and push you to grow? My client is at the forefront of Spectrum Engineering and Management, and are on the lookout for a dynamic Software Support Specialist to join their team.
If you are goal-oriented, crave new experiences, and are ready to make a tangible impact, I'd love to speak with you.
Duties include, but are not limited to:
Responsibilities:Assist users in designing and optimizing their wireless networks.Support Web Application users by identifying issues and testing updates and fixes.Conduct online support sessions.Support Request for Information (RFI)/Request for Proposal (RFP) efforts.Assist in sales initiatives and business development efforts.
Required Skills:Excellent computer skills.Strong verbal and written communication skills.Bachelor’s degree in science or engineering preferred.Experience of working in a Help Desk environment.Ability to work autonomously.Experience with PHP, JavaScript, and Web Development programming is desirable.Spanish/Portuguese language skills are a plus.
If you have a year or two's experience in a support role, or are a recent graduate, get in touch!"
37,"The Coordinator serves as the principal advisor to the ASWSU Senate, committees, and functions associated. The ASWSU Advisor will be knowledgeable of procedures and practices pertaining to the ASWSU Constitution and By-laws as well as University procedures. The ASWSU Advisor’s duties will include but are not limited to challenging and supporting student leaders associated with the ASWSU Senate and affiliate committees and organizations, working with students to appropriate and reconcile the budgetary functions of the organizations. Additionally, the ASWSU Advisor will assist with program specifics for the programmatic and service committees of ASWSU, advising various committees and working to support advisors external to department staff."
38,"Part time Barber, to start, tons of possibilities, including ownership, and or just working part time, and or picking up more hours in time. 
Experience preferred but will train the right person. All Haircuts, some shaving (will train). Scheduling clients. 
References needed."
39,"Job Summary: We are seeking a skilled Production Planner with a background in Food Technology to oversee our production processes and ensure efficient and effective manufacturing operations. The Production Planner will be responsible for ensuring the production schedule is optimized, materials are available when needed, and products are manufactured to meet customer demand. The successful candidate will work closely with Production Team, Procurement, and Quality Assurance Departments to ensure that production schedules are met, and product quality is maintained.  Production Planner will work onsite in Concord/Charlotte NC. Responsibilities: · Develop and maintain an effective production plan to ensure that production targets are met in a timely and cost-effective manner. · Confirm that the production schedule is aligned with customer demand and sales forecasts and communicate any changes to the relevant departments. · Monitor inventory levels and liaise with the procurement team to ensure that raw materials and packaging materials are available as and when required. · Analyze production data to identify opportunities for process improvement, reduce waste and improve product quality. · Coordinate with the maintenance and production supervisor to ensure that equipment is in good working order. · Confirm compliance with all relevant health and safety regulations and company policies. · Confirm that all production-related documentation is accurate and up to date. · Confirm all quality measures are met for production. Requirements: · Bachelor's degree in Food Science, Food Technology, or related field. · Minimum of 3-5 years of experience in a production planning or related role within the food industry. · Strong analytical, problem-solving skills and the ability to analyze production data to identify trends and opportunities for improvement. · Excellent communication and interpersonal skills, with the ability to work effectively with a range of stakeholders. · Knowledge of food safety regulations and quality control standards. · Familiarity with production planning software and tools (SAP, MRP, MPS….) · Strong organizational skills and the ability to manage multiple priorities simultaneously. · Understanding of production processes and supply chain management principles. · Ability to work independently and as part of a team. · Flexibility to work outside of regular business hours when required. Physical Capabilities · Ability to routinely carry and lift up to 50 lbs. · Frequent climbing, bending, reaching, stooping, kneeling, and stretching for extended periods of time. · Repeated lifting, carrying, pushing, pulling, and handling of products. · Extended standing or walking throughout the day. · Willing and able to operate powered industrial equipment including walkies, reach truck and stand ups. · Ability to use computer and telephones for extended periods of time. 
Salary: Depending on experience.Great Benefits Package with generous PTO "
